0,1,2,3,4,5,6,7,8,9,label
0.9346957,0.7780139,0.667689,0.36381072,0.3864406,0.6004607,0.655692,0.43601614,0.8744881,0.8323713,heart
0.92727065,0.7769023,0.6750163,0.39043006,0.37242553,0.72656894,0.5501091,0.40054303,0.8766857,0.8378377,heart
1.0081458,0.77151716,0.65122324,0.36343202,0.3768067,0.643399,0.6851377,0.45267195,0.87841946,0.7652832,heart
1.1245819,0.7872795,0.6763608,0.3678672,0.3818153,0.61704785,0.77233756,0.40608752,0.86993533,0.7000641,heart
0.87781054,0.78093034,0.6960938,0.38018805,0.3871611,0.64291334,0.58643734,0.3855506,0.87732995,0.88963425,heart
0.9625599,0.7827855,0.6484515,0.38379306,0.3922136,0.6451053,0.6448328,0.40794468,0.85338277,0.813233,heart
0.924586,0.78555316,0.694456,0.3851704,0.3769149,0.67632174,0.60164946,0.42221412,0.86936826,0.84962696,heart
0.92779815,0.7855808,0.6943491,0.37418562,0.38454917,0.59876573,0.66581684,0.38815913,0.88022906,0.8467152,heart
0.9502342,0.7697798,0.69554096,0.38032898,0.3761938,0.59400696,0.6423497,0.4042421,0.89884377,0.8100948,heart
0.8304784,0.7831345,0.67224985,0.3772143,0.39123958,0.57190156,0.64728343,0.4318651,0.86982197,0.94299203,heart
0.86667293,0.78948104,0.6826373,0.40731326,0.36076534,0.7608396,0.48825222,0.43249366,0.87855035,0.9109331,heart
0.8783725,0.77109003,0.69896424,0.3841525,0.3736261,0.69701195,0.5414308,0.3968443,0.8953834,0.8778622,heart
1.1942798,0.76540554,0.65039575,0.3840533,0.36555946,0.784101,0.6491664,0.4027527,0.88386476,0.64089304,heart
0.78803676,0.77821505,0.6961611,0.37646356,0.39112756,0.58891857,0.6225279,0.40693393,0.8928767,0.98753643,heart
0.95163,0.7845258,0.68660295,0.36609992,0.36924854,0.6566684,0.66532946,0.4245781,0.88298047,0.8244022,heart
0.9554671,0.7720922,0.6759327,0.38997844,0.37682587,0.6246058,0.6135752,0.3838148,0.9004832,0.8080783,heart
0.8938969,0.79819804,0.67105985,0.36226723,0.38499457,0.62214357,0.62948585,0.47084963,0.8593001,0.892942,heart
0.87420285,0.7839435,0.67800605,0.38762966,0.38385147,0.62988347,0.5724986,0.376261,0.876293,0.89675236,heart
0.9744883,0.786887,0.6630278,0.37353817,0.39145222,0.5368126,0.71587616,0.39156118,0.8782278,0.80748737,heart
0.77274907,0.78375256,0.6979028,0.39252165,0.39209145,0.5592625,0.6005241,0.35500476,0.8883013,1.0142394,heart
0.8187091,0.76202196,0.68289894,0.37414205,0.42801535,0.45755643,0.7088495,0.36488554,0.9157191,0.9307603,heart
0.9954103,0.77166295,0.672871,0.38941917,0.3854613,0.63480747,0.65002435,0.37666228,0.89862484,0.775221,heart
0.9810299,0.79604125,0.69903404,0.36091506,0.37350336,0.6416887,0.6799799,0.42504326,0.8843647,0.8114342,heart
0.80636114,0.7908106,0.67985535,0.38372657,0.38325962,0.6969748,0.48846617,0.4044893,0.8905115,0.9807151,heart
0.8867473,0.7928101,0.6615549,0.38704997,0.38973525,0.5859517,0.63046205,0.39079323,0.8650198,0.8940654,heart
1.0550301,0.77552694,0.6720008,0.38468733,0.3757258,0.6774358,0.6185833,0.3803105,0.88301146,0.7350756,heart
0.9448294,0.7863388,0.67407405,0.38579193,0.37432674,0.7143115,0.5733217,0.40490305,0.8689392,0.8322548,heart
0.9911726,0.7867648,0.68701917,0.37128422,0.38548797,0.63378423,0.64872146,0.3968011,0.88162917,0.79377174,heart
0.9711204,0.7690472,0.6796631,0.3956556,0.3781187,0.6561858,0.607642,0.39757815,0.8762837,0.7919175,heart
